situation elements:2
	8|Gen|5466
	31|Date|2018-02-08 15:47:53.582000
		instrument count:4
		xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
			instrument:8|USDT_ETH
			last:820.01000000
			high24hr:865.00000002
			highestbid:820.01000005
			percentchange:0.09229316
			low24hr:731.79666665
			lowestask:822.73906205
			candle300|288
				1518045900|771.65399986|760.00000000|761.06376255|770.00000000|765.24485280|56534.55927681
				1518045600|769.70729104|757.00000001|769.70729104|765.92190174|761.08825344|222319.38255815
				1518045300|770.00000000|763.00000002|763.00000002|768.20000000|765.85087194|86987.83811979
				1518045000|775.37366331|765.94807083|768.73221304|771.40999997|770.68122742|158194.35744247
				1518044700|780.00000004|766.00000000|771.41000000|779.70000000|771.58741893|324752.11698135
				1518044400|794.69622700|777.70226765|780.00000000|793.00000000|782.74219426|128868.30270052
				1518044100|796.99999999|787.44547697|793.00000000|787.44547697|792.63679770|267868.27633646
				1518043800|790.22297691|783.03271325|790.16547691|784.36271328|785.83269070|123152.86074880
				1518043500|793.00000000|784.00000000|784.36271327|792.99999999|787.14799563|488234.02669329
				1518043200|799.36749632|791.95030988|792.99999997|799.36749632|795.97952587|30782.00674196
				1518042900|799.49970000|792.33886063|797.10000020|794.95030997|796.85048471|182262.74217946
				1518042600|801.00000003|791.95030988|794.95030997|801.00000003|798.19297594|271637.12544617
				1518042300|810.85847964|801.00000000|801.00000000|810.00000000|805.53357521|449434.02361608
				1518042000|812.00000000|809.23999994|810.00000000|811.99999997|810.08631389|6055.43628391
				1518041700|813.00000000|810.10000006|812.00000000|812.81697954|811.25319699|5135.48227845
				1518041400|816.77999944|811.00000000|811.00000000|816.77999911|814.35545813|25168.05836051
				1518041100|816.92697957|812.70000001|812.80000000|813.86800000|815.47781230|6427.56762376
				1518040800|817.53697958|811.53697959|813.86800000|816.00000000|814.70647818|13060.93969388
				1518040500|819.00000000|816.00000000|816.00000000|819.00000000|816.24079621|3936.13696524
				1518040200|820.76697950|815.90000000|820.18697953|815.90000000|819.13515259|16220.38985681
				1518039900|815.90000000|811.89014764|811.89014764|813.49128561|813.18193117|16057.50838027
				1518039600|816.99999995|811.24040930|813.04408915|816.99999995|812.81782390|52368.34391785
				1518039300|827.45294995|816.72183436|816.99999997|817.97010966|823.70193566|206862.46099567
				1518039000|819.11729900|815.00000000|819.11729900|815.28681200|817.38193066|24677.28530305
				1518038700|824.13090967|815.28681200|815.28681200|821.06122514|817.89589913|17773.01456675
				1518038400|825.99999996|820.79675286|825.18716103|825.99999996|821.90354309|22345.06237447
				1518038100|833.17117783|822.88675288|823.80675291|833.00000000|826.81332705|72498.90951094
				1518037800|833.69763136|828.91763137|833.00000000|831.40000003|831.04254601|39590.42385517
				1518037500|833.16916081|825.00000000|832.00000000|825.00000000|829.89060095|85769.02579701
				1518037200|827.27006272|821.63995560|827.27006272|823.99999993|823.01854841|16473.34358422
				1518036900|827.00000001|822.00000000|822.70000000|825.36907101|825.44466130|22549.96256892
				1518036600|828.57622260|823.50000026|827.00000000|825.66302200|825.23797970|29327.31425490
				1518036300|829.67630240|821.09999998|825.00010019|822.09999933|824.72107852|26490.89821597
				1518036000|824.01359053|816.09196214|822.09999936|822.99999999|821.65221558|30453.92161142
				1518035700|824.01359058|811.01000066|822.99999999|814.14854999|815.79180616|61052.10048094
				1518035400|814.14855000|810.00000000|814.14855000|810.85350000|810.73313477|496683.86721296
				1518035100|815.04000013|810.85350000|810.85350000|815.04000001|814.35514597|78235.95656851
				1518034800|819.99999999|815.04000012|815.04000013|819.99999999|815.62539714|33926.31131437
				1518034500|820.00000000|815.04000002|820.00000000|820.00000000|818.41530093|99896.00219592
				1518034200|824.76039699|820.00000000|820.00000000|823.10153240|820.86044723|125439.91687950
				1518033900|827.52837941|823.00000101|827.52837792|823.00000155|824.29372905|1593.53072853
				1518033600|829.84901972|822.00000000|823.00000000|827.00000000|824.57737811|30861.22020892
				1518033300|830.00000000|825.89895077|827.00000003|830.00000000|827.15700291|7418.94561481
				1518033000|831.77536989|825.89895007|831.77536989|825.89895007|829.40322433|24342.16165890
				1518032700|830.07144482|820.24000000|825.89895017|823.00000003|823.48303016|23137.70702503
				1518032400|831.75999993|823.00000000|831.74999972|829.00000000|827.97081526|22995.52724130
				1518032100|835.78354500|828.00000006|828.00000009|834.04805141|833.65119142|38877.14670320
				1518031800|837.24805110|834.00000056|834.04805126|835.99999966|836.50277384|11459.46395393
				1518031500|836.00000000|827.00000000|832.87713700|827.00000000|831.96977226|30735.62585703
				1518031200|831.46265579|826.00000000|827.00000000|826.00000000|828.44714190|4139.20110765
				1518030900|835.46098299|823.78385102|823.78385102|833.00000000|833.74896943|97764.05962726
				1518030600|834.07830595|826.27290002|832.12809147|826.27290002|829.27511279|16640.23185080
				1518030300|827.10000000|824.00000000|826.27290002|827.10000000|826.28511325|34255.14545818
				1518030000|833.00000000|826.00000000|827.10000000|833.00000000|829.15285957|18061.10910032
				1518029700|841.02000024|833.01818000|833.01818000|837.00000000|836.56699536|19804.34042713
				1518029400|842.99999960|837.00000000|837.00000000|842.99999957|839.83883088|21929.02069461
				1518029100|843.99999924|837.00000000|842.99999990|837.00000017|839.67441986|5408.73054888
				1518028800|841.99999740|837.00000000|841.99999740|837.00000000|838.01639331|16703.79283348
				1518028500|840.09499999|837.00000000|837.00000000|837.00000007|837.82172838|16224.79396047
				1518028200|846.11350388|837.00000000|839.99000001|841.47000000|842.38640785|22740.60580621
				1518027900|847.70000000|840.51000001|841.17000000|847.70000000|846.22415964|43534.72411993
				1518027600|848.00000000|847.70000000|847.70000000|847.70000000|847.70091361|239037.49532795
				1518027300|850.00000000|847.00000000|847.70000000|850.00000000|847.90770823|39068.86226604
				1518027000|851.81815000|849.00000000|850.00000000|849.99999990|849.95560040|157614.80683789
				1518026700|849.99999990|841.94012469|849.99999990|847.69999999|848.65982300|39495.77845048
				1518026400|847.70000000|839.99000000|847.69999982|839.99000000|845.84731805|16599.78457486
				1518026100|839.99999996|835.10000047|839.99000000|839.99999985|838.57156073|21440.81719450
				1518025800|844.99999999|839.87949847|839.87949847|840.10000064|842.31752775|28673.41173224
				1518025500|847.54224135|840.00000017|840.10000024|845.00000000|845.89206980|148918.33813302
