situation elements:2
	8|Gen|5535
	31|Date|2018-02-10 02:17:18.704000
		instrument count:4
		xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
			instrument:8|USDT_ETH
			last:848.83033036
			high24hr:862.00000000
			highestbid:848.83033067
			percentchange:0.03879819
			low24hr:778.66740711
			lowestask:851.93125154
			candle300|288
				1518162300|808.72620000|805.61666527|808.00000001|807.00000003|807.77425078|50966.81880797
				1518162000|807.00000003|803.37352930|807.00000003|803.37352933|805.12280963|26297.51654019
				1518161700|805.94999998|801.97000003|804.15631000|805.94999998|803.66200188|4291.94321860
				1518161400|807.00000003|806.00000000|807.00000003|807.00000000|806.98887303|33679.62783081
				1518161100|808.40000000|807.00000000|807.00000003|807.00000000|807.00263658|100713.80515443
				1518160800|810.00000000|807.00000000|807.00000000|809.99999982|807.23013954|293919.99375047
				1518160500|810.00000000|808.00000000|808.00000012|810.00000000|808.71037466|24905.63465243
				1518160200|810.00000000|807.00000000|810.00000000|807.00000000|809.25638682|25058.08061035
				1518159900|808.00000000|797.90000127|807.00000000|797.90000127|803.77553178|91190.65397018
				1518159600|800.00000000|797.89999989|797.90000098|800.00000000|799.06305614|27343.18422476
				1518159300|803.26904488|799.00000061|800.00000000|801.00000000|801.60722871|22911.36803873
				1518159000|801.00000000|798.49999997|801.00000000|798.49999997|798.76960871|16296.85388011
				1518158700|798.89999000|798.69999997|798.69999997|798.89998951|798.87062421|717.94173064
				1518158400|798.99999806|795.99999974|795.99999974|798.99999806|796.30543075|5994.20945967
				1518158100|798.99999860|796.04000005|798.99999831|798.99999824|797.11627397|8856.22879792
				1518157800|798.99999752|795.99999964|798.99999691|795.99999964|798.11251972|512.60324119
				1518157500|798.99999906|795.93281125|798.99999906|795.93281170|795.96528253|8875.06868948
				1518157200|799.62000048|795.93281127|795.93281166|797.59007999|798.12907920|18718.62628840
				1518156900|797.09897995|791.81072632|797.09897995|794.84494437|794.96811563|25227.87396163
				1518156600|794.84494424|786.10374862|790.81072615|786.77376701|791.46301559|8525.84472749
				1518156300|788.05000120|786.77376718|786.77376718|788.00000125|787.72450829|28707.05670201
				1518156000|793.14844805|787.39093603|793.14844685|790.28837227|788.17707758|28080.13686920
				1518155700|795.01174413|790.28837230|790.77279758|795.01174413|790.65195346|3450.05333225
				1518155400|795.01174538|795.01174529|795.01174529|795.01174538|795.01174532|6039.54732571
				1518155100|796.72954046|790.64813530|796.72953934|790.64813533|792.44317839|66738.69873233
				1518154800|790.66740785|788.71095147|789.00740785|789.00000057|789.06501308|13948.66252334
				1518154500|790.66740785|785.10000015|790.66740785|786.04998119|787.60964581|15963.86287477
				1518154200|785.93999988|782.00000128|785.10000015|785.00000000|785.22131403|5817.96811033
				1518153900|785.10000015|778.92000009|785.00000000|785.09999948|784.10494438|37257.99011681
				1518153600|785.09999948|778.70682731|785.09999948|781.00000000|780.76388925|26101.16108437
				1518153300|783.85032996|778.70682759|780.10000029|782.29934022|780.28834210|66725.78775354
				1518153000|787.89311992|778.66740711|782.00000000|786.01870630|781.01127426|72892.82991456
				1518152700|793.10000022|786.01870640|786.01870640|789.00000000|788.86335271|23075.90055282
				1518152400|794.99999988|787.32772509|791.00000000|787.32772509|792.08907163|19322.36340523
				1518152100|794.00000000|790.93104040|791.00000000|791.00000000|791.52222569|6564.72773200
				1518151800|791.00000000|787.70000000|791.00000000|787.70000000|789.86671784|3572.26211828
				1518151500|790.99999970|782.57620107|787.70000000|782.57620107|786.32619645|3872.30675178
				1518151200|793.93103991|779.61749593|787.78699986|790.00025781|783.15964057|243238.70424263
				1518150900|797.88239876|790.00025467|790.00025773|793.10000754|792.30759976|110102.09481371
				1518150600|798.48719741|793.10000542|797.88239996|797.10000121|796.55242420|2033.20465091
				1518150300|798.48719713|793.10000036|798.48719713|793.10000036|795.76744730|4098.20235361
				1518150000|798.48719910|792.89619592|798.48719854|792.90000000|794.62241992|8857.88638853
				1518149700|794.50000022|793.64239964|793.64239964|794.50000022|794.23597524|23380.48465722
				1518149400|799.45107650|793.98304580|793.98304588|793.98304581|795.87933419|6884.85884656
				1518149100|800.85988836|793.98304580|793.98304580|800.85988835|798.50573643|14374.40917199
				1518148800|807.69470756|800.47992728|802.56490292|806.30928000|805.21413503|16086.31372731
				1518148500|806.30928000|803.28178096|806.30928000|803.28178096|804.74498168|7237.86284554
				1518148200|807.69470878|800.00000015|803.28178096|802.89619608|803.81195567|71245.91597636
				1518147900|802.89619611|800.00000000|802.89619611|800.00000000|800.66971867|2939.86240236
				1518147600|800.20799147|798.00000003|800.00000000|798.50447788|799.44216371|14504.87261825
				1518147300|799.27338119|793.85344781|798.99999955|798.50000000|795.61899265|39999.97873574
				1518147000|802.89619557|798.50000001|798.50000001|802.89619557|799.89170445|12463.57844004
				1518146700|805.03615923|794.38492023|800.00000000|794.38492023|799.38443467|33895.88682027
				1518146400|801.42525499|792.89619591|798.00000000|798.96264811|796.99167124|29603.48872300
