situation elements:2
	8|Gen|5311
	31|Date|2018-02-05 10:17:44.798000
		instrument count:4
		xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
			instrument:8|USDT_ETH
			last:844.00000000
			high24hr:973.04241710
			highestbid:844.00000000
			percentchange:-0.11652032
			low24hr:781.00000000
			lowestask:844.44592839
			candle300|288
				1517725800|967.31160063|965.00000000|965.00000000|967.31160063|967.03403696|10253.65121022
				1517725500|967.36835371|963.00000250|967.36835370|966.50835321|967.16852707|12036.88249875
				1517725200|966.50835359|963.00000057|963.00000057|965.72835362|966.30617668|1225.87696525
				1517724900|967.06999905|962.41244269|963.00000073|967.06999905|965.17007149|40716.57684412
				1517724600|967.41958418|962.11328835|967.41958418|962.11328835|966.63499805|10122.46159556
				1517724300|970.61945108|962.11328809|962.11328817|970.00000006|968.95441236|69890.21299354
				1517724000|970.36656000|959.29969284|970.00000003|961.33630930|967.38750352|62004.09397765
				1517723700|961.33630915|957.70000000|958.00000010|958.30000003|957.96166233|86678.59787477
				1517723400|959.28435382|955.00000003|959.28435382|957.48895450|958.23214683|1514.68271936
				1517723100|957.87027562|954.81112214|957.74027560|954.89999988|957.30004687|16584.94902645
				1517722800|954.89999988|951.34027664|954.89999988|954.89999988|953.98601613|17936.80192653
				1517722500|954.99999988|951.34027627|951.34027627|954.00000000|951.72030147|14947.96364702
				1517722200|955.00000000|954.00000000|954.00000000|954.99999992|954.15704349|4074.12257555
				1517721900|954.99999994|951.28548101|954.99999994|954.38533100|952.18986244|27487.29157826
				1517721600|954.38533100|949.36966538|954.38533100|951.00000000|952.50884916|26710.65765966
				1517721300|954.96268069|947.22663311|950.28000000|947.22663311|949.72628282|85225.75057616
				1517721000|951.09995548|946.60995696|951.09995494|948.71010950|949.25040810|64223.84809839
				1517720700|948.71010953|943.36283869|948.71010949|946.50000000|946.55805049|35861.77460914
				1517720400|946.88258475|945.90000000|946.50000000|946.88258475|945.92595050|40715.65378410
				1517720100|948.91505449|946.88258475|946.88258479|948.91505447|948.13923347|29214.86260310
				1517719800|948.91505447|948.24093377|948.91505447|948.91505441|948.65597613|479.41329637
				1517719500|952.09995500|948.71010950|948.71010950|950.47995604|949.82180698|15720.48172142
				1517719200|954.09995563|950.48995558|950.48995631|954.09995560|951.53484377|28930.13650152
				1517718900|953.99995561|949.10000003|953.99995561|951.98995505|951.50906181|40197.52357868
				1517718600|951.98995551|946.69218694|951.98995551|949.00995561|948.66193761|1968.89406239
				1517718300|950.48848233|947.32995587|949.56995563|950.48848233|948.87278242|593.52025751
				1517718000|954.00010000|950.69995563|951.29992056|954.00010000|952.56221501|985.64036658
				1517717700|956.60532784|951.72543165|954.00010000|953.00000000|954.08259894|6231.18441840
				1517717400|960.19604156|950.79536248|953.92539702|958.29529402|953.12122388|53523.39659669
				1517717100|962.79529342|960.19604159|960.19604159|960.29529385|962.17376524|36133.49253498
				1517716800|962.31529345|958.19529370|961.00000000|961.35881535|960.54225484|23961.63072475
				1517716500|961.35881733|957.89529344|961.35881541|959.99176980|958.76803194|19688.18132565
				1517716200|962.89833058|958.69126505|959.99176980|962.89833057|960.00186995|14815.39137685
				1517715900|962.89833057|962.49999999|962.89833057|962.82529342|962.53144095|4090.16456890
				1517715600|962.89833066|958.29998005|962.89833065|961.35564002|961.59025188|42603.02792428
				1517715300|962.66178722|957.81164365|961.35564009|962.00000000|958.97508274|39551.82868607
				1517715000|962.99999997|961.22100000|962.66178723|962.61049795|962.72867286|62607.15833999
				1517714700|962.61049796|955.14728720|960.10000011|958.47164300|960.59860725|47902.23087186
				1517714400|958.47164331|955.00000000|958.47164313|955.05000000|957.71253616|12866.99992492
